id,start date,end date,status
1,2023-12-27,2024-01-18,active
2,2024-05-12,2024-05-25,active
3,2023-07-05,2023-07-07,inactive
4,2024-01-15,2024-02-12,active
5,2024-06-28,2024-07-08,inactive
6,2024-08-22,2024-09-16,inactive
7,2022-12-30,2023-01-29,active
8,2024-08-07,2024-08-18,inactive
9,2022-12-13,2022-12-19,active
10,2024-04-04,2024-04-16,active
11,2024-06-20,2024-07-11,active
12,2023-11-17,2023-11-28,active
13,2023-09-02,2023-09-18,inactive
14,2023-10-05,2023-10-18,inactive
15,2023-02-16,2023-03-08,active
16,2024-08-08,2024-08-27,active
17,2023-03-12,2023-03-17,inactive
18,2023-08-13,2023-08-30,active
19,2023-10-18,2023-11-15,active
20,2024-06-14,2024-06-30,active
21,2024-08-20,2024-09-12,inactive
22,2023-04-26,2023-05-04,active
23,2024-04-07,2024-04-13,inactive
24,2024-11-22,2024-12-12,active
25,2024-06-06,2024-06-29,inactive
26,2023-08-27,2023-09-20,inactive
27,2023-05-23,2023-06-08,inactive
28,2024-02-02,2024-02-22,inactive
29,2023-03-23,2023-03-30,active
30,2024-06-01,2024-06-24,active
31,2024-07-10,2024-08-01,active
32,2023-11-21,2023-12-08,inactive
33,2024-01-02,2024-01-23,inactive
34,2023-09-21,2023-09-22,inactive
35,2023-04-06,2023-04-28,active
36,2024-07-18,2024-08-09,active
37,2024-03-01,2024-03-09,inactive
38,2023-08-25,2023-09-23,inactive
39,2024-01-13,2024-01-30,active
40,2023-01-27,2023-02-06,active
41,2023-08-17,2023-09-16,inactive
42,2023-11-15,2023-12-15,inactive
43,2024-10-30,2024-11-12,inactive
44,2023-10-23,2023-10-27,inactive
45,2024-07-27,2024-08-25,active
46,2024-04-08,2024-04-29,inactive
47,2024-04-22,2024-05-16,active
48,2023-09-18,2023-09-25,inactive
49,2023-03-29,2023-04-05,inactive
50,2023-06-18,2023-06-25,inactive
51,2024-09-02,2024-09-08,inactive
52,2023-03-16,2023-03-24,active
53,2024-02-19,2024-03-07,inactive
54,2023-12-02,2023-12-21,inactive
55,2023-10-24,2023-11-01,active
56,2024-02-04,2024-02-05,active
57,2024-04-21,2024-05-08,inactive
58,2024-08-12,2024-09-09,active
59,2024-11-24,2024-12-12,inactive
60,2023-11-02,2023-11-10,inactive
61,2022-12-20,2023-01-03,inactive
62,2023-12-14,2023-12-28,active
63,2024-11-24,2024-12-13,inactive
64,2024-05-24,2024-06-17,inactive
65,2023-09-04,2023-09-13,active
66,2024-03-19,2024-04-04,active
67,2024-07-23,2024-08-18,active
68,2024-08-14,2024-08-30,inactive
69,2024-12-03,2024-12-21,inactive
70,2024-01-13,2024-01-27,active
71,2023-08-01,2023-08-18,inactive
72,2024-01-19,2024-01-21,active
73,2023-04-25,2023-05-19,active
74,2022-12-15,2022-12-17,inactive
75,2023-01-26,2023-02-25,active
76,2023-01-06,2023-01-11,inactive
77,2023-04-09,2023-04-13,active
78,2024-01-12,2024-01-27,active
79,2023-07-28,2023-08-15,inactive
80,2023-01-13,2023-01-21,active
81,2023-10-06,2023-10-26,inactive
82,2022-12-27,2022-12-28,inactive
83,2023-07-24,2023-08-08,inactive
84,2023-01-11,2023-01-15,active
85,2024-11-27,2024-11-30,inactive
86,2024-08-18,2024-08-29,inactive
87,2023-05-14,2023-05-15,active
88,2024-09-03,2024-09-04,active
89,2024-03-08,2024-03-24,active
90,2024-03-20,2024-04-13,inactive
91,2023-05-03,2023-06-01,inactive
92,2022-12-05,2023-01-02,inactive
93,2023-01-16,2023-02-10,active
94,2024-12-02,2024-12-16,active
95,2024-03-14,2024-03-31,active
96,2024-01-31,2024-02-04,inactive
97,2024-04-16,2024-05-06,inactive
98,2023-10-21,2023-10-23,inactive
99,2024-03-31,2024-04-30,inactive
100,2024-08-15,2024-09-03,inactive
